EmployeeID,PredictedProbability,RiskLevel,Driver_1,SHAP_1,FeatureValue_1,Impact_1,Driver_2,SHAP_2,FeatureValue_2,Impact_2,Driver_3,SHAP_3,FeatureValue_3,Impact_3,Department,JobRole,Gender,Age,BusinessTravel,EducationField,MaritalStatus,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,EngagementScore,WellbeingScore,CareerGrowthScore,LoyaltyScore,AttritionRiskScore,RecommendationCategory,AIRecommendation,RetentionPriorityScore,AttritionProbability (%),GlobalRiskRank,DepartmentRiskRank,JobRoleRiskRank,AgeGroup,IncomeBand,CompanyTenure,YearsUntilRetirement,ReviewPriority,ExecutiveAction,RiskPercentile,HighValueEmployee,RetentionActionRequired,HRHealthScore,HealthCategory,HRPriorityIndex,HRPriorityLevel
368,0.4959,Medium,OvertimeRisk,2.1185,0,Increases Attrition Risk,StockOptionLevel,1.2733,0.0,Increases Attrition Risk,NumCompaniesWorked,0.713,6.0,Increases Attrition Risk,Research & Development,Healthcare Representative,Male,50,Travel_Rarely,Technical Degree,Single,10496,4,No,4,4,3,3.333333333,1.666666667,0.573,0.19,0.067,Retention,Understand employee expectations and strengthen long-term retention strategies.,50.0,49.59,369,182,18,41–50,Very High,Early,10,Quarterly,No Action Required,74.0,No,No,16.3,Critical,63.23,High
369,0.3346,Medium,OvertimeRisk,2.1108,1,Increases Attrition Risk,MaritalStatus_Single,-0.6521,0.0,Reduces Attrition Risk,NumCompaniesWorked,0.6226,2.0,Increases Attrition Risk,Sales,Sales Executive,Male,40,Travel_Rarely,Marketing,Married,6380,6,Yes,3,3,3,1.666666667,1.333333333,0.418,0.67,0.533,Retention,Understand employee expectations and strengthen long-term retention strategies.,33.0,33.46,651,262,193,31–40,High,Experienced,20,Annual,No Action Required,53.1,No,No,15.8,Critical,53.76,Medium
370,0.2165,Low,OvertimeRisk,2.0655,1,Increases Attrition Risk,StockOptionLevel,1.2701,0.0,Increases Attrition Risk,JobSatisfaction,-0.4876,2.0,Reduces Attrition Risk,Research & Development,Research Scientist,Male,31,Travel_Rarely,Life Sciences,Single,2657,2,Yes,2,3,3,2.333333333,1.333333333,0.408,0.5,0.4,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",22.0,21.65,887,548,198,31–40,Low,New,29,Annual,No Action Required,35.2,No,No,16.0,Critical,46.59,Medium
371,0.6083,Medium,OvertimeRisk,1.8911,0,Increases Attrition Risk,StockOptionLevel,1.2859,0.0,Increases Attrition Risk,JobSatisfaction,-0.7025,2.0,Reduces Attrition Risk,Sales,Sales Representative,Female,21,Travel_Rarely,Life Sciences,Single,2716,1,No,2,3,3,3.0,1.333333333,0.429,0.5,0.2,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",61.0,60.83,198,108,21,18–30,Low,New,39,Quarterly,No Action Required,86.3,No,No,16.2,Critical,70.02,High
372,0.2677,Low,OvertimeRisk,2.2414,0,Increases Attrition Risk,StockOptionLevel,1.369,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6955,9.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,29,Travel_Rarely,Life Sciences,Single,2201,3,No,4,4,3,3.666666667,1.666666667,0.43,0.43,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,27.0,26.77,773,467,176,18–30,Low,Early,31,Annual,No Action Required,43.9,No,No,16.4,Critical,49.5,Medium
373,0.3216,Low,OvertimeRisk,2.2083,0,Increases Attrition Risk,StockOptionLevel,1.1177,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6974,9.0,Increases Attrition Risk,Research & Development,Healthcare Representative,Male,35,Travel_Rarely,Life Sciences,Single,6540,1,No,2,3,3,2.0,1.333333333,0.607,0.09,0.2,Retention,Understand employee expectations and strengthen long-term retention strategies.,32.0,32.16,677,397,45,31–40,High,New,25,Annual,No Action Required,51.0,No,No,15.9,Critical,52.94,Medium
374,0.1319,Low,OvertimeRisk,1.979,0,Increases Attrition Risk,FrequentTraveler,0.6348,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6335,1.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Male,27,Travel_Rarely,Medical,Divorced,3816,5,No,2,4,3,2.333333333,1.666666667,0.333,0.83,0.2,Retention,Understand employee expectations and strengthen long-term retention strategies.,13.0,13.19,1113,722,221,18–30,Medium,Early,33,Annual,No Action Required,17.4,No,No,16.1,Critical,41.47,Medium
375,0.8394,High,OvertimeRisk,2.3551,0,Increases Attrition Risk,StockOptionLevel,1.2332,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6403,1.0,Increases Attrition Risk,Sales,Sales Executive,Male,28,Travel_Rarely,Life Sciences,Single,5253,7,No,4,2,3,3.0,1.0,0.536,0.88,0.067,Retention,Understand employee expectations and strengthen long-term retention strategies.,89.0,83.94,27,19,15,18–30,High,Experienced,32,This Month,Manager Review,98.2,No,Yes,16.2,Critical,83.88,Critical
376,0.6109,Medium,OvertimeRisk,2.2706,0,Increases Attrition Risk,StockOptionLevel,1.2058,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7123,8.0,Increases Attrition Risk,Research & Development,Healthcare Representative,Male,49,Travel_Rarely,Other,Single,10965,5,No,3,2,3,2.0,1.0,0.81,0.19,0.133,Retention,Understand employee expectations and strengthen long-term retention strategies.,61.0,61.09,197,82,8,41–50,Very High,Early,11,Quarterly,No Action Required,86.4,No,No,15.9,Critical,70.29,High
377,0.2183,Low,OvertimeRisk,1.5662,0,Increases Attrition Risk,FrequentTraveler,0.8635,0.0,Increases Attrition Risk,MaritalStatus_Single,-0.4793,0.0,Reduces Attrition Risk,Sales,Sales Executive,Female,51,Travel_Rarely,Life Sciences,Married,4936,7,No,4,3,2,3.0,1.0,0.417,0.37,0.133,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",22.0,21.83,881,331,250,51–60,High,Experienced,9,Annual,No Action Required,35.6,No,No,16.1,Critical,46.66,Medium
378,0.1115,Low,OvertimeRisk,1.9221,0,Increases Attrition Risk,FrequentTraveler,0.7243,0.0,Increases Attrition Risk,DailyRate,-0.5818,329.0,Reduces Attrition Risk,Research & Development,Research Scientist,Female,36,Travel_Rarely,Life Sciences,Married,2543,2,No,3,4,3,2.666666667,1.666666667,0.337,0.29,0.133,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",11.0,11.15,1160,759,259,31–40,Low,New,24,Annual,No Action Required,13.8,No,No,16.1,Critical,40.25,Medium
379,0.7844,High,OvertimeRisk,2.3812,1,Increases Attrition Risk,StockOptionLevel,1.0994,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5639,8.0,Increases Attrition Risk,Sales,Sales Executive,Male,34,Non-Travel,Marketing,Single,5304,5,Yes,4,1,2,2.333333333,0.333333333,0.464,0.5,0.533,Retention,Understand employee expectations and strengthen long-term retention strategies.,83.0,78.44,51,32,28,31–40,High,Early,26,This Month,Manager Review,96.6,No,Yes,15.8,Critical,80.74,Critical
380,0.2517,Low,OvertimeRisk,2.1135,1,Increases Attrition Risk,StockOptionLevel,1.2992,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6425,2.0,Increases Attrition Risk,Research & Development,Manager,Female,55,Travel_Rarely,Life Sciences,Single,16659,5,Yes,4,3,3,3.0,1.333333333,0.609,0.16,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,25.0,25.17,801,488,48,51–60,Very High,Early,5,Annual,No Action Required,41.8,No,No,16.1,Critical,48.66,Medium
381,0.1036,Low,OvertimeRisk,1.8457,1,Increases Attrition Risk,FrequentTraveler,0.6895,0.0,Increases Attrition Risk,MaritalStatus_Single,-0.4877,0.0,Reduces Attrition Risk,Sales,Sales Executive,Female,24,Travel_Rarely,Marketing,Divorced,4260,5,Yes,3,4,4,3.333333333,2.0,0.44,0.83,0.267,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",10.0,10.36,1182,401,294,18–30,Medium,Early,36,Annual,No Action Required,12.1,No,No,16.4,Critical,39.66,Low
382,0.3628,Medium,OvertimeRisk,1.6853,0,Increases Attrition Risk,NumCompaniesWorked,0.8484,1.0,Increases Attrition Risk,JobInvolvement,-0.5013,3.0,Reduces Attrition Risk,Sales,Sales Representative,Male,30,Travel_Rarely,Technical Degree,Married,2476,1,No,2,3,3,1.666666667,1.333333333,0.5,0.5,0.2,Retention,Understand employee expectations and strengthen long-term retention strategies.,36.0,36.28,596,248,56,18–30,Low,New,30,Annual,No Action Required,57.0,No,No,15.9,Critical,55.41,Medium
383,0.5322,Medium,OvertimeRisk,2.1644,0,Increases Attrition Risk,StockOptionLevel,1.2966,0.0,Increases Attrition Risk,RelationshipSatisfaction,-0.5111,3.0,Reduces Attrition Risk,Research & Development,Research Scientist,Male,26,Travel_Frequently,Technical Degree,Single,3102,6,No,1,3,3,2.0,1.333333333,0.595,0.75,0.267,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",53.0,53.22,305,139,71,18–30,Medium,Experienced,34,Quarterly,No Action Required,78.4,No,No,16.0,Critical,65.53,High
384,0.6812,High,OvertimeRisk,1.7892,0,Increases Attrition Risk,FrequentTraveler,1.0077,0.0,Increases Attrition Risk,NumCompaniesWorked,0.8204,1.0,Increases Attrition Risk,Research & Development,Research Scientist,Female,22,Travel_Rarely,Medical,Married,2244,2,No,2,1,3,2.0,0.666666667,0.359,0.67,0.2,Retention,Understand employee expectations and strengthen long-term retention strategies.,73.0,68.12,131,49,27,18–30,Low,New,38,Quarterly,Manager Review,91.0,No,Yes,15.8,Critical,74.55,High
385,0.2013,Low,OvertimeRisk,2.03,0,Increases Attrition Risk,NumCompaniesWorked,0.6329,1.0,Increases Attrition Risk,IncomePerJobLevel,-0.5261,2532.0,Reduces Attrition Risk,Sales,Sales Executive,Male,36,Travel_Rarely,Medical,Married,7596,10,No,3,2,3,1.666666667,1.0,0.348,0.91,0.333,Retention,Understand employee expectations and strengthen long-term retention strategies.,20.0,20.13,929,345,261,31–40,High,Experienced,24,Annual,No Action Required,31.8,No,No,15.8,Critical,45.76,Medium
386,0.5617,Medium,OvertimeRisk,2.1151,1,Increases Attrition Risk,StockOptionLevel,1.2287,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7873,9.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,30,Travel_Frequently,Technical Degree,Single,2285,1,Yes,4,3,3,3.0,1.333333333,0.619,0.25,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,56.0,56.17,264,115,59,18–30,Low,New,30,Quarterly,No Action Required,81.3,No,No,16.2,Critical,67.22,High
387,0.2423,Low,OvertimeRisk,1.9074,0,Increases Attrition Risk,FrequentTraveler,0.8446,0.0,Increases Attrition Risk,TotalWorkingYears,-0.507,18.0,Reduces Attrition Risk,Research & Development,Laboratory Technician,Female,37,Travel_Rarely,Life Sciences,Divorced,3034,18,No,1,4,2,2.333333333,1.333333333,0.09,0.95,0.533,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",24.0,24.23,822,502,155,31–40,Medium,Veteran,23,Annual,No Action Required,40.1,No,No,16.0,Critical,48.14,Medium
388,0.0736,Low,OvertimeRisk,1.9044,0,Increases Attrition Risk,MaritalStatus_Single,-0.5657,0.0,Reduces Attrition Risk,DailyRate,-0.4697,759.0,Reduces Attrition Risk,Sales,Sales Executive,Female,40,Travel_Rarely,Marketing,Divorced,5715,5,No,2,4,3,2.666666667,1.666666667,0.418,0.56,0.2,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",7.0,7.36,1261,421,311,31–40,High,Early,20,Annual,No Action Required,6.3,No,No,16.2,Critical,37.94,Low
389,0.5518,Medium,OvertimeRisk,2.3457,0,Increases Attrition Risk,FrequentTraveler,0.7409,0.0,Increases Attrition Risk,DailyRate,-0.566,201.0,Reduces Attrition Risk,Research & Development,Laboratory Technician,Female,42,Travel_Rarely,Life Sciences,Divorced,2576,5,No,1,2,3,1.333333333,1.0,0.43,0.56,0.267,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",55.0,55.18,282,126,47,41–50,Low,Early,18,Quarterly,No Action Required,80.0,No,No,15.7,Critical,66.83,High
390,0.4603,Medium,OvertimeRisk,1.7602,1,Increases Attrition Risk,StockOptionLevel,1.2708,0.0,Increases Attrition Risk,NumCompaniesWorked,0.9319,2.0,Increases Attrition Risk,Research & Development,Manufacturing Director,Male,37,Travel_Rarely,Life Sciences,Single,4197,1,Yes,2,3,2,2.666666667,1.0,0.44,0.05,0.467,Retention,Understand employee expectations and strengthen long-term retention strategies.,46.0,46.03,422,221,13,31–40,Medium,New,23,Annual,No Action Required,69.9,No,No,15.9,Critical,61.26,High
391,0.4924,Medium,OvertimeRisk,2.1258,0,Increases Attrition Risk,FrequentTraveler,0.921,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7611,1.0,Increases Attrition Risk,Research & Development,Research Director,Male,43,Travel_Rarely,Life Sciences,Divorced,14336,25,No,2,1,3,1.333333333,0.666666667,0.517,0.96,0.2,Retention,Understand employee expectations and strengthen long-term retention strategies.,49.0,49.24,373,185,8,41–50,Very High,Veteran,17,Annual,No Action Required,73.7,No,No,15.7,Critical,63.26,High
392,0.078,Low,OvertimeRisk,1.7091,0,Increases Attrition Risk,Gender_Female,-0.521,1.0,Reduces Attrition Risk,DailyRate,-0.5186,555.0,Reduces Attrition Risk,Research & Development,Laboratory Technician,Female,40,Travel_Rarely,Medical,Married,3448,1,No,3,2,3,1.666666667,1.0,0.679,0.05,0.133,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",8.0,7.8,1249,826,246,31–40,Medium,New,20,Annual,No Action Required,7.1,No,No,15.7,Critical,38.4,Low
393,0.3056,Low,OvertimeRisk,1.8453,0,Increases Attrition Risk,FrequentTraveler,0.7643,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6794,4.0,Increases Attrition Risk,Research & Development,Research Director,Male,54,Travel_Rarely,Medical,Married,19406,4,No,1,1,2,1.333333333,0.333333333,0.644,0.16,0.333,Retention,Understand employee expectations and strengthen long-term retention strategies.,31.0,30.56,702,415,28,51–60,Very High,Early,6,Annual,No Action Required,49.3,No,No,15.5,Critical,52.14,Medium
394,0.3412,Medium,OvertimeRisk,1.8889,0,Increases Attrition Risk,FrequentTraveler,0.8374,0.0,Increases Attrition Risk,MaritalStatus_Single,-0.4828,0.0,Reduces Attrition Risk,Sales,Sales Executive,Female,34,Non-Travel,Marketing,Married,6538,3,No,3,3,3,2.0,1.333333333,0.49,0.43,0.133,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",34.0,34.12,637,259,190,31–40,High,Early,26,Annual,No Action Required,54.0,No,No,15.9,Critical,54.11,Medium
395,0.2006,Low,OvertimeRisk,1.6301,0,Increases Attrition Risk,FrequentTraveler,0.7369,0.0,Increases Attrition Risk,NumCompaniesWorked,0.687,1.0,Increases Attrition Risk,Research & Development,Manufacturing Director,Female,31,Travel_Rarely,Medical,Married,4306,13,No,1,2,1,1.333333333,0.333333333,0.374,0.93,0.4,Retention,Understand employee expectations and strengthen long-term retention strategies.,20.0,20.06,934,581,65,31–40,Medium,Veteran,29,Annual,No Action Required,31.4,No,No,15.6,Critical,45.8,Medium
396,0.2166,Low,OvertimeRisk,1.9752,0,Increases Attrition Risk,NumCompaniesWorked,0.6175,7.0,Increases Attrition Risk,FrequentTraveler,0.5892,1.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Male,43,Travel_Frequently,Medical,Married,2258,3,No,4,4,3,2.666666667,1.666666667,0.525,0.33,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,22.0,21.66,886,547,167,41–50,Low,Early,17,Annual,No Action Required,35.3,No,No,16.1,Critical,46.56,Medium
397,0.2098,Low,OvertimeRisk,2.0402,1,Increases Attrition Risk,StockOptionLevel,1.2532,0.0,Increases Attrition Risk,MaritalStatus_Single,-0.6169,0.0,Reduces Attrition Risk,Research & Development,Healthcare Representative,Female,43,Travel_Rarely,Other,Divorced,4522,5,Yes,3,3,3,3.0,1.333333333,0.488,0.56,0.333,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",21.0,20.98,908,564,72,41–50,Medium,Early,17,Annual,No Action Required,33.5,No,No,16.2,Critical,46.11,Medium
398,0.4148,Medium,OvertimeRisk,1.9381,1,Increases Attrition Risk,StockOptionLevel,1.137,0.0,Increases Attrition Risk,JobSatisfaction,-0.6019,4.0,Reduces Attrition Risk,Sales,Sales Executive,Female,25,Travel_Rarely,Life Sciences,Single,4487,5,Yes,4,2,3,2.0,1.0,0.394,0.83,0.267,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",41.0,41.48,505,219,159,18–30,Medium,Early,35,Annual,No Action Required,63.9,No,No,15.9,Critical,58.53,Medium
399,0.2075,Low,OvertimeRisk,1.9257,1,Increases Attrition Risk,FrequentTraveler,0.7984,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7179,3.0,Increases Attrition Risk,Research & Development,Research Scientist,Female,37,Non-Travel,Medical,Married,4449,13,Yes,3,2,3,1.666666667,1.0,0.29,0.81,0.733,Retention,Understand employee expectations and strengthen long-term retention strategies.,21.0,20.75,914,569,205,31–40,Medium,Veteran,23,Annual,No Action Required,33.1,No,No,15.7,Critical,46.17,Medium
400,0.2702,Low,OvertimeRisk,2.1112,0,Increases Attrition Risk,NumCompaniesWorked,0.6769,1.0,Increases Attrition Risk,FrequentTraveler,0.6703,0.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Male,31,Travel_Rarely,Life Sciences,Married,2218,4,No,1,4,3,2.0,1.666666667,0.29,0.8,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,27.0,27.02,767,461,147,31–40,Low,Early,29,Annual,No Action Required,44.4,No,No,16.0,Critical,49.81,Medium
401,0.3289,Low,OvertimeRisk,2.1241,1,Increases Attrition Risk,FrequentTraveler,0.9001,1.0,Increases Attrition Risk,NumCompaniesWorked,0.7473,1.0,Increases Attrition Risk,Research & Development,Manager,Male,39,Travel_Frequently,Life Sciences,Divorced,19197,21,Yes,3,2,3,2.333333333,1.0,0.716,0.95,0.333,Retention,Understand employee expectations and strengthen long-term retention strategies.,33.0,32.89,661,384,35,31–40,Very High,Veteran,21,Annual,No Action Required,52.4,No,No,16.1,Critical,53.29,Medium
402,0.4698,Medium,OvertimeRisk,1.7368,0,Increases Attrition Risk,FrequentTraveler,0.8316,1.0,Increases Attrition Risk,Gender_Female,-0.5264,1.0,Reduces Attrition Risk,Sales,Sales Executive,Female,56,Travel_Frequently,Life Sciences,Married,13212,7,No,1,3,2,2.666666667,1.0,0.428,0.19,0.533,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",47.0,46.98,407,188,138,51–60,Very High,Experienced,4,Annual,No Action Required,71.1,No,No,15.9,Critical,61.83,High
403,0.7826,High,OvertimeRisk,2.0288,0,Increases Attrition Risk,StockOptionLevel,1.009,0.0,Increases Attrition Risk,RelationshipSatisfaction,-0.5434,2.0,Reduces Attrition Risk,Sales,Sales Executive,Female,30,Travel_Rarely,Technical Degree,Single,6577,5,No,3,2,3,2.0,1.0,0.328,0.71,0.133,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",83.0,78.26,52,33,29,18–30,High,Early,30,This Month,Manager Review,96.5,No,Yes,15.9,Critical,80.6,Critical
404,0.7051,High,OvertimeRisk,2.0828,0,Increases Attrition Risk,FrequentTraveler,0.8834,0.0,Increases Attrition Risk,MaritalStatus_Single,-0.5169,0.0,Reduces Attrition Risk,Sales,Sales Executive,Male,41,Travel_Rarely,Marketing,Married,8392,10,No,1,2,3,2.0,1.0,0.619,0.91,0.267,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",76.0,70.51,110,67,55,41–50,Very High,Experienced,19,This Month,Manager Review,92.4,Yes,Yes,16.0,Critical,75.91,High
405,0.3621,Medium,OvertimeRisk,2.0001,0,Increases Attrition Risk,FrequentTraveler,0.7593,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6252,1.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Male,28,Travel_Rarely,Medical,Divorced,4558,10,No,1,3,3,2.333333333,1.333333333,0.418,0.91,0.467,Retention,Understand employee expectations and strengthen long-term retention strategies.,36.0,36.21,599,341,113,18–30,Medium,Experienced,32,Annual,No Action Required,56.8,No,No,16.0,Critical,55.33,Medium
406,0.5005,Medium,OvertimeRisk,1.9043,0,Increases Attrition Risk,FrequentTraveler,0.7796,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5758,5.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Male,25,Travel_Rarely,Medical,Married,4031,2,No,1,1,3,1.333333333,0.666666667,0.381,0.29,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,50.0,50.05,361,177,60,18–30,Medium,New,35,Quarterly,No Action Required,74.6,No,No,15.6,Critical,63.79,High
407,0.3659,Medium,OvertimeRisk,1.9058,1,Increases Attrition Risk,StockOptionLevel,1.3799,0.0,Increases Attrition Risk,NumCompaniesWorked,0.9366,2.0,Increases Attrition Risk,Research & Development,Manufacturing Director,Male,52,Travel_Rarely,Medical,Married,7969,5,Yes,3,4,3,2.666666667,1.666666667,0.571,0.17,0.333,Retention,Understand employee expectations and strengthen long-term retention strategies.,37.0,36.59,587,334,24,51–60,High,Early,8,Annual,No Action Required,57.8,No,No,16.1,Critical,55.51,Medium
408,0.1988,Low,OvertimeRisk,1.9938,0,Increases Attrition Risk,FrequentTraveler,0.9421,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6969,3.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,45,Travel_Rarely,Life Sciences,Married,2654,2,No,4,1,2,2.666666667,0.333333333,0.571,0.22,0.133,Retention,Understand employee expectations and strengthen long-term retention strategies.,20.0,19.88,940,586,208,41–50,Low,New,15,Annual,No Action Required,30.9,No,No,15.9,Critical,45.57,Medium
409,0.2179,Low,OvertimeRisk,1.9384,0,Increases Attrition Risk,StockOptionLevel,1.0955,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7904,2.0,Increases Attrition Risk,Research & Development,Manager,Female,52,Travel_Rarely,Life Sciences,Married,16555,5,No,4,4,1,3.666666667,1.0,0.609,0.16,0.2,Retention,Understand employee expectations and strengthen long-term retention strategies.,22.0,21.79,883,544,58,51–60,Very High,Early,8,Annual,No Action Required,35.5,No,No,16.2,Critical,46.59,Medium
410,0.3185,Low,OvertimeRisk,1.7872,0,Increases Attrition Risk,FrequentTraveler,0.9444,1.0,Increases Attrition Risk,NumCompaniesWorked,0.6465,2.0,Increases Attrition Risk,Research & Development,Research Scientist,Female,42,Travel_Frequently,Life Sciences,Divorced,4556,5,No,3,1,3,1.666666667,0.666666667,0.417,0.25,0.333,Retention,Understand employee expectations and strengthen long-term retention strategies.,32.0,31.85,680,398,157,41–50,Medium,Early,18,Annual,No Action Required,50.7,No,No,15.6,Critical,52.87,Medium
411,0.1441,Low,OvertimeRisk,1.874,0,Increases Attrition Risk,StockOptionLevel,1.2481,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6667,2.0,Increases Attrition Risk,Research & Development,Manufacturing Director,Female,30,Travel_Rarely,Life Sciences,Single,6091,5,No,4,3,3,2.333333333,1.333333333,0.631,0.42,0.067,Retention,Understand employee expectations and strengthen long-term retention strategies.,14.0,14.41,1084,694,94,18–30,High,Early,30,Annual,No Action Required,19.7,No,No,16.1,Critical,42.21,Medium
412,0.2705,Low,OvertimeRisk,2.0036,0,Increases Attrition Risk,StockOptionLevel,1.065,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6481,5.0,Increases Attrition Risk,Research & Development,Manager,Female,60,Travel_Rarely,Life Sciences,Married,19566,29,No,1,1,1,1.666666667,0.0,0.422,0.85,0.6,Retention,Understand employee expectations and strengthen long-term retention strategies.,27.0,27.05,766,460,45,51–60,Very High,Veteran,0,Annual,No Action Required,44.5,No,No,15.6,Critical,49.99,Medium
413,0.1134,Low,OvertimeRisk,1.7784,0,Increases Attrition Risk,NumCompaniesWorked,0.5867,2.0,Increases Attrition Risk,FrequentTraveler,0.5551,0.0,Increases Attrition Risk,Research & Development,Manufacturing Director,Female,46,Travel_Rarely,Medical,Divorced,4810,10,No,3,3,2,2.666666667,1.0,0.488,0.5,0.4,Retention,Understand employee expectations and strengthen long-term retention strategies.,11.0,11.34,1153,753,111,41–50,Medium,Experienced,14,Annual,No Action Required,14.4,No,No,16.0,Critical,40.4,Medium
414,0.0958,Low,OvertimeRisk,1.8259,0,Increases Attrition Risk,FrequentTraveler,0.7676,1.0,Increases Attrition Risk,MaritalStatus_Single,-0.5062,0.0,Reduces Attrition Risk,Research & Development,Healthcare Representative,Female,42,Travel_Frequently,Technical Degree,Married,4523,6,No,4,4,4,3.333333333,2.0,0.417,0.75,0.2,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",10.0,9.58,1202,788,106,41–50,Medium,Experienced,18,Annual,No Action Required,10.6,No,No,16.4,Critical,39.19,Low
415,0.647,Medium,OvertimeRisk,2.0525,1,Increases Attrition Risk,StockOptionLevel,1.2329,0.0,Increases Attrition Risk,JobSatisfaction,-0.6339,2.0,Reduces Attrition Risk,Sales,Sales Representative,Female,24,Travel_Rarely,Technical Degree,Single,3202,5,Yes,2,1,3,1.333333333,0.666666667,0.43,0.71,0.4,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",65.0,64.7,162,92,17,18–30,Medium,Early,36,Quarterly,No Action Required,88.8,No,No,15.6,Critical,72.58,High
416,0.3337,Medium,OvertimeRisk,1.6187,0,Increases Attrition Risk,FrequentTraveler,0.6402,1.0,Increases Attrition Risk,MaritalStatus_Single,-0.5197,0.0,Reduces Attrition Risk,Sales,Sales Representative,Female,34,Travel_Frequently,Marketing,Divorced,2351,2,No,3,4,2,2.666666667,1.333333333,0.43,0.5,0.2,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",33.0,33.37,653,264,58,31–40,Low,New,26,Annual,No Action Required,52.9,No,No,16.1,Critical,53.58,Medium
417,0.2175,Low,OvertimeRisk,1.9309,1,Increases Attrition Risk,NumCompaniesWorked,0.7994,1.0,Increases Attrition Risk,DailyRate,-0.5721,1490.0,Reduces Attrition Risk,Research & Development,Laboratory Technician,Male,38,Travel_Frequently,Life Sciences,Married,1702,1,Yes,4,4,3,3.333333333,1.666666667,0.619,0.5,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,22.0,21.75,885,546,166,31–40,Low,New,22,Annual,No Action Required,35.4,No,No,16.4,Critical,46.49,Medium
418,0.1214,Low,OvertimeRisk,1.7413,0,Increases Attrition Risk,StockOptionLevel,1.1192,0.0,Increases Attrition Risk,MaritalStatus_Single,-0.5669,0.0,Reduces Attrition Risk,Sales,Manager,Female,40,Travel_Rarely,Life Sciences,Married,18041,20,No,3,3,3,3.0,1.333333333,0.716,0.91,0.133,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",12.0,12.14,1138,393,80,31–40,Very High,Veteran,20,Annual,No Action Required,15.5,No,No,16.3,Critical,40.76,Medium
